epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,17157.4,0.61222,0.0054,0.0037,0.28781,0.8947,0.99965,1,0.995,0.84154,0.99965,1,0.995,0.995,0.69172,0.00341,0.00011,0.30166,0.91393,0.000687222,0.000687222,0.000687222
40,17659.3,0.61098,0.0047,0.00019,0.28514,0.90651,0.99948,1,0.995,0.85896,0.99948,1,0.995,0.995,0.6861,0.00516,8e-05,0.27151,0.91983,0.000672675,0.000672675,0.000672675
41,18006.4,0.61516,0.00489,0.00263,0.28978,0.89886,0.99969,1,0.995,0.85155,0.99969,1,0.995,0.995,0.67525,0.00318,6e-05,0.27399,0.91741,0.000657963,0.000657963,0.000657963
42,18418.6,0.61897,0.0054,0.00235,0.28922,0.89732,0.99072,1,0.995,0.84993,0.99072,1,0.995,0.995,0.68682,0.00351,4e-05,0.26389,0.91452,0.000643101,0.000643101,0.000643101
43,18796.7,0.61327,0.00539,0.0051,0.28084,0.89987,0.99947,1,0.995,0.85434,0.99947,1,0.995,0.995,0.69661,0.00357,4e-05,0.28083,0.91431,0.000628101,0.000628101,0.000628101
44,19194.4,0.61179,0.00582,0.00547,0.27645,0.89989,0.99947,1,0.995,0.85107,0.99947,1,0.995,0.995,0.67772,0.00341,7e-05,0.26993,0.91336,0.000612981,0.000612981,0.000612981
45,19589.3,0.61769,0.0047,0.00268,0.27759,0.90359,0.99952,1,0.995,0.85905,0.99952,1,0.995,0.995,0.68746,0.00249,8e-05,0.26255,0.91406,0.000597754,0.000597754,0.000597754
46,20021.5,0.61135,0.00446,0.00159,0.2701,0.89203,0.99784,1,0.995,0.85761,0.99784,1,0.995,0.995,0.68711,0.00287,7e-05,0.26669,0.91551,0.000582435,0.000582435,0.000582435
47,20405.4,0.61343,0.00677,0.00534,0.27542,0.90922,0.99744,1,0.995,0.84893,0.99744,1,0.995,0.995,0.68866,0.00382,0.00016,0.27285,0.91344,0.00056704,0.00056704,0.00056704
48,20918.7,0.60605,0.00518,0.00061,0.27386,0.89423,0.99753,1,0.995,0.86012,0.99753,1,0.995,0.995,0.67308,0.00247,0.00011,0.26094,0.90801,0.000551584,0.000551584,0.000551584
49,21278.9,0.5971,0.00532,0.00063,0.26729,0.89353,0.99809,1,0.995,0.85713,0.99809,1,0.995,0.995,0.67072,0.00285,8e-05,0.26645,0.91197,0.000536081,0.000536081,0.000536081
50,21737.5,0.60199,0.00504,0.0031,0.26808,0.88923,0.99739,1,0.995,0.85319,0.99739,1,0.995,0.995,0.66317,0.00243,5e-05,0.2657,0.91315,0.000520548,0.000520548,0.000520548
51,22175.7,0.59467,0.00516,0.00038,0.2693,0.8899,0.9997,1,0.995,0.85179,0.9997,1,0.995,0.995,0.69502,0.00335,3e-05,0.2829,0.91606,0.000505,0.000505,0.000505
52,22594.5,0.60392,0.00487,0.00287,0.27269,0.89789,0.99968,1,0.995,0.85351,0.99968,1,0.995,0.995,0.6722,0.00298,4e-05,0.26172,0.91201,0.000489452,0.000489452,0.000489452
53,23042.8,0.59207,0.00467,0.00048,0.26933,0.89314,0.9997,1,0.995,0.84643,0.9997,1,0.995,0.995,0.67448,0.00266,6e-05,0.26654,0.90989,0.000473919,0.000473919,0.000473919
54,23552.8,0.60593,0.00542,0.00441,0.27249,0.8974,0.99963,1,0.995,0.8606,0.99963,1,0.995,0.995,0.67323,0.00235,5e-05,0.26114,0.90658,0.000458416,0.000458416,0.000458416
55,23953.1,0.59324,0.00489,0.00072,0.26849,0.89208,0.9997,1,0.995,0.855,0.9997,1,0.995,0.995,0.66627,0.00227,9e-05,0.25617,0.91234,0.00044296,0.00044296,0.00044296
56,24422.7,0.59178,0.0045,0.00157,0.26317,0.89146,0.9997,1,0.995,0.85397,0.9997,1,0.995,0.995,0.68122,0.00265,0.0001,0.26426,0.91388,0.000427565,0.000427565,0.000427565
57,24755.6,0.59255,0.00366,0.01524,0.25866,0.89166,0.99968,1,0.995,0.85457,0.99968,1,0.995,0.995,0.65532,0.00297,6e-05,0.25381,0.91589,0.000412246,0.000412246,0.000412246
58,25233.6,0.58731,0.00513,0.00094,0.25667,0.88787,0.99969,1,0.995,0.85844,0.99969,1,0.995,0.995,0.67662,0.00246,0.00011,0.25686,0.90925,0.000397019,0.000397019,0.000397019
59,25608.7,0.58635,0.00429,0.00027,0.25201,0.88663,0.99971,1,0.995,0.85876,0.99971,1,0.995,0.995,0.67158,0.00183,0.00014,0.25071,0.90858,0.000381899,0.000381899,0.000381899
60,26073.6,0.57917,0.00439,0.00029,0.25523,0.8886,0.99971,1,0.995,0.85867,0.99971,1,0.995,0.995,0.67825,0.00248,0.00013,0.25882,0.91024,0.000366899,0.000366899,0.000366899
61,26469.9,0.58296,0.00395,0.00054,0.25637,0.89019,0.9997,1,0.995,0.85346,0.9997,1,0.995,0.995,0.68606,0.00298,0.00014,0.25556,0.91283,0.000352037,0.000352037,0.000352037
62,26942.3,0.57391,0.00398,0.00037,0.25312,0.89453,0.99966,1,0.995,0.85472,0.99966,1,0.995,0.995,0.67565,0.00307,0.00013,0.25854,0.91693,0.000337325,0.000337325,0.000337325
63,27345.7,0.58448,0.00394,0.00098,0.2519,0.89248,0.99877,1,0.995,0.85458,0.99877,1,0.995,0.995,0.67662,0.00233,0.0001,0.25605,0.9153,0.000322778,0.000322778,0.000322778
64,27904.7,0.58072,0.00366,0.00996,0.2482,0.88387,0.99969,1,0.995,0.85587,0.99969,1,0.995,0.995,0.67928,0.00257,9e-05,0.25738,0.91355,0.000308412,0.000308412,0.000308412
