Timestamp,M1_Pos,M2_Pos,M3_Pos,M4_Pos,M5_Pos,M6_Pos,M7_Pos,Event
22:21:36.973,537,512,380,800,700,512,512,
22:21:37.088,537,512,380,800,700,512,512,
22:21:37.203,537,512,380,800,700,512,512,
22:21:37.319,537,512,380,800,700,512,512,
22:21:37.434,537,512,380,800,700,512,512,
22:21:37.534,537,512,380,800,700,512,512,
22:21:37.649,537,512,380,800,700,512,512,
22:21:37.765,537,512,380,800,700,512,512,
22:21:37.881,537,512,380,800,700,512,512,
22:21:37.997,537,512,380,800,700,512,512,
22:21:38.111,537,512,380,800,700,512,512,
22:21:38.227,537,512,380,800,700,512,512,
22:21:38.342,537,512,380,800,700,512,512,
22:21:38.457,537,512,380,800,700,512,512,
22:21:38.572,537,512,380,800,700,512,512,
22:21:38.687,537,512,380,800,700,512,512,
22:21:38.802,537,512,380,800,700,512,512,
22:21:38.916,537,512,380,800,700,512,512,
22:21:39.016,537,512,380,800,700,512,512,
22:21:39.116,537,512,380,800,700,512,512,
22:21:39.215,537,512,380,800,700,512,512,
22:21:39.316,537,512,380,800,700,512,512,
22:21:39.430,537,512,380,800,700,512,512,
22:21:39.543,537,512,380,800,700,512,512,
22:21:39.659,537,512,380,800,700,512,512,
22:21:39.775,537,512,380,800,700,512,512,
22:21:39.876,537,512,380,800,700,512,512,
22:21:39.990,537,512,380,800,700,512,512,
22:21:40.090,537,512,380,800,700,512,512,
22:21:40.192,537,512,380,800,700,512,512,
22:21:40.293,537,512,380,800,700,512,512,
22:21:40.394,537,512,380,800,700,512,512,
22:21:40.511,537,512,380,800,700,512,512,
22:21:40.614,537,512,380,800,700,512,512,
22:21:40.719,537,512,380,800,700,512,512,
22:21:40.820,537,512,380,800,700,512,512,
22:21:40.923,537,512,380,800,700,512,512,
22:21:41.029,537,512,380,800,700,512,512,
22:21:41.129,537,512,380,800,700,512,512,
22:21:41.236,537,512,380,800,700,512,512,
22:21:41.352,537,512,380,800,700,512,512,
22:21:41.466,537,512,380,800,700,512,512,
22:21:41.581,537,512,380,800,700,512,512,
22:21:41.696,537,512,380,800,700,512,512,
22:21:41.810,537,512,380,800,700,512,512,
22:21:41.923,537,512,380,800,700,512,512,
22:21:42.038,537,512,380,800,700,512,512,
22:21:42.139,537,512,380,800,700,512,512,
22:21:42.254,537,512,380,800,700,512,512,
22:21:42.356,537,512,380,800,700,512,512,
22:21:42.455,537,512,380,800,700,512,512,
22:21:42.556,537,512,380,800,700,512,512,
22:21:42.671,537,512,380,800,700,512,512,
22:21:42.773,537,512,380,800,700,512,512,
22:21:42.873,537,512,380,800,700,512,512,
22:21:42.989,537,512,380,800,700,512,512,
22:21:43.091,537,512,380,800,700,512,512,
22:21:43.425,537,512,380,800,700,512,512,
