epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2463.26,0.78615,0.02359,0.03835,0.46433,1.13856,0.99752,1,0.995,0.70748,0.99752,1,0.995,0.995,1.08189,0.03492,0.00358,0.51978,1.38606,0.0016436,0.0016436,0.0016436
56,2509.37,0.8548,0.02546,0.05719,0.49013,1.13633,0.99727,1,0.995,0.73956,0.99727,1,0.995,0.995,1.02753,0.03666,0.00162,0.44273,1.3281,0.001637,0.001637,0.001637
57,2556.06,0.77023,0.02113,0.06595,0.45272,1.12285,0.99501,1,0.995,0.75391,0.99501,1,0.995,0.995,0.98841,0.03714,0.00163,0.47499,1.29183,0.0016304,0.0016304,0.0016304
58,2603.08,0.82627,0.02712,0.12146,0.47607,1.17022,0.99491,1,0.995,0.76251,0.99491,1,0.995,0.995,0.90029,0.03647,0.00114,0.40509,1.21868,0.0016238,0.0016238,0.0016238
59,2651.05,0.82761,0.02316,0.05361,0.44012,1.1503,0.99368,1,0.995,0.72424,0.99368,1,0.995,0.995,1.04063,0.03709,0.0014,0.44002,1.31741,0.0016172,0.0016172,0.0016172
60,2697,0.83788,0.02874,0.05805,0.48441,1.1599,0.99372,1,0.995,0.76401,0.99372,1,0.995,0.995,0.96939,0.03635,0.00189,0.42009,1.26892,0.0016106,0.0016106,0.0016106
61,2741.79,0.72989,0.0255,0.0545,0.44091,1.11247,0.99542,1,0.995,0.7809,0.99542,1,0.995,0.995,0.88887,0.03815,0.00233,0.41752,1.21002,0.001604,0.001604,0.001604
62,2787.5,0.78835,0.02631,0.09168,0.46786,1.096,0.9969,1,0.995,0.7545,0.9969,1,0.995,0.995,0.93342,0.04028,0.0037,0.40978,1.25588,0.0015974,0.0015974,0.0015974
63,2832.36,0.7511,0.01839,0.08997,0.44378,1.09386,0.99624,1,0.995,0.75533,0.99624,1,0.995,0.995,0.91804,0.04184,0.0042,0.49192,1.23733,0.0015908,0.0015908,0.0015908
64,2877.87,0.69968,0.03614,0.05524,0.4367,1.06799,0.9979,1,0.995,0.74083,0.9979,1,0.995,0.995,0.99869,0.04277,0.0036,0.44651,1.31345,0.0015842,0.0015842,0.0015842
65,2923.28,0.746,0.02378,0.0708,0.4354,1.08482,0.99827,1,0.995,0.73301,0.99827,1,0.995,0.995,0.97433,0.04211,0.00225,0.44466,1.31498,0.0015776,0.0015776,0.0015776
66,2969.61,0.73234,0.02032,0.03245,0.42984,1.09051,0.99888,1,0.995,0.72581,0.99888,1,0.995,0.995,0.9454,0.03857,0.00395,0.42757,1.28019,0.001571,0.001571,0.001571
67,3016.3,0.74267,0.02868,0.05429,0.41988,1.08903,0.99819,1,0.995,0.75287,0.99819,1,0.995,0.995,0.8848,0.03799,0.00919,0.41999,1.24751,0.0015644,0.0015644,0.0015644
68,3065.86,0.75565,0.02838,0.04269,0.42316,1.10424,0.99844,1,0.995,0.74314,0.99844,1,0.995,0.995,0.91527,0.03952,0.01217,0.40651,1.2957,0.0015578,0.0015578,0.0015578
69,3111.63,0.78049,0.02498,0.03415,0.42385,1.08666,0.9991,1,0.995,0.75503,0.9991,1,0.995,0.995,0.94635,0.03879,0.00623,0.40069,1.35058,0.0015512,0.0015512,0.0015512
70,3158.01,0.77554,0.03487,0.15269,0.43275,1.06475,0.9989,1,0.995,0.7762,0.9989,1,0.995,0.995,0.92848,0.03384,0.00329,0.42721,1.32412,0.0015446,0.0015446,0.0015446
71,3204.32,0.85205,0.01693,0.01847,0.45469,1.16282,0.99882,1,0.995,0.76904,0.99882,1,0.995,0.995,0.92921,0.03222,0.00576,0.43915,1.30672,0.001538,0.001538,0.001538
72,3250.4,0.79696,0.01582,0.03503,0.44798,1.14851,0.9987,1,0.995,0.78366,0.9987,1,0.995,0.99196,0.89201,0.0333,0.0128,0.42238,1.25751,0.0015314,0.0015314,0.0015314
73,3297.97,0.76379,0.01561,0.08128,0.4356,1.07134,0.99789,1,0.995,0.77768,0.99789,1,0.995,0.995,0.88771,0.03558,0.01548,0.42303,1.24309,0.0015248,0.0015248,0.0015248
74,3344.64,0.74484,0.01638,0.05109,0.45018,1.13966,1,0.99,0.995,0.80316,1,0.99,0.995,0.995,0.85925,0.03785,0.00133,0.41807,1.21877,0.0015182,0.0015182,0.0015182
