Epoch,Train_MSE_Loss,Train_Box_Loss,Train_Mean_IoU,Train_Box_Hit_Rate,Train_MPE,Train_X_MAE,Train_Y_MAE,Train_PCK@5px,Train_PCK@10px,Train_Max_Error,Val_MSE_Loss,Val_Box_Loss,Val_Mean_IoU,Val_Box_Hit_Rate,Val_MPE,Val_X_MAE,Val_Y_MAE,Val_PCK@5px,Val_PCK@10px,Val_Max_Error
57,0.013682,0.00297,0.4208,40.86,44.37,36.59,18.47,1.9,5.71,265.15,0.006088,0.001422,0.483,50.51,30.81,24.92,13.63,4.04,11.11,105.31
58,0.013515,0.002838,0.42,40.36,44.79,35.62,20.29,2.28,6.35,202.25,0.005481,0.001188,0.5187,57.58,29.86,23.85,13.68,2.02,12.63,132.94
59,0.012533,0.002622,0.4412,44.16,42.99,36.24,16.66,2.66,8.12,280.89,0.005661,0.001226,0.5143,60.1,30.15,24.27,13.26,3.03,9.6,142.98
60,0.013278,0.002722,0.4405,45.69,44.96,36.83,18.92,2.28,7.11,291.6,0.005788,0.001309,0.5248,59.09,29.67,23.61,13.42,3.03,10.61,147.79
61,0.012528,0.002536,0.4571,47.84,42.73,35.58,17.27,2.79,6.85,263.29,0.005596,0.001283,0.5147,59.6,28.48,23.35,12.12,4.55,15.15,143.86
62,0.014249,0.002908,0.4491,45.81,43.61,37.29,16.06,2.54,8.76,278.88,0.005327,0.001177,0.5229,58.59,28.99,24.96,10.43,2.53,12.12,128.31
63,0.012469,0.002665,0.4323,42.64,43.01,36.1,17.16,1.78,4.06,239.76,0.006174,0.00131,0.4889,47.47,31.99,26.81,12.31,2.53,9.09,156.69
64,0.013552,0.002823,0.4335,42.89,44.57,37.42,17.49,1.52,6.35,226.84,0.005207,0.00123,0.5186,56.06,27.68,22.68,12.1,2.02,13.13,139.6
65,0.012571,0.002669,0.4505,48.1,42.02,35.09,16.48,2.41,7.23,260.28,0.005253,0.001152,0.5201,57.58,29.24,23.54,13.28,2.53,10.61,127.38
66,0.012834,0.002607,0.4547,47.97,42.74,36.13,16.42,3.3,9.01,241.63,0.004564,0.000999,0.5493,65.15,26.56,22.37,10.4,3.54,13.64,144.65
