epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3718.05,0.7192,0.0059,0.02073,0.37478,0.94817,0.99942,1,0.995,0.84877,0.99942,1,0.995,0.99375,0.69396,0.01174,0.00025,0.33288,0.88212,0.0012476,0.0012476,0.0012476
59,3786.5,0.7377,0.00698,0.02164,0.38746,0.96351,0.99907,1,0.995,0.85229,0.99907,1,0.995,0.99426,0.66083,0.01236,9e-05,0.31922,0.87472,0.0012344,0.0012344,0.0012344
60,3855.36,0.68607,0.00532,0.02347,0.3613,0.93876,0.99702,1,0.995,0.85605,0.99702,1,0.995,0.99404,0.66314,0.01155,0.0004,0.30172,0.87535,0.0012212,0.0012212,0.0012212
61,3923.82,0.66142,0.00884,0.04942,0.35461,0.93803,0.99942,1,0.995,0.85172,0.99942,1,0.995,0.99266,0.6794,0.01139,0.00068,0.29295,0.87848,0.001208,0.001208,0.001208
62,3992.57,0.69887,0.00634,0.05054,0.37039,0.94913,0.9994,1,0.995,0.85976,0.9994,1,0.995,0.99329,0.68028,0.01555,0.00051,0.30243,0.87957,0.0011948,0.0011948,0.0011948
63,4061.1,0.69365,0.00791,0.02694,0.36548,0.94802,0.99939,1,0.995,0.85459,0.99939,1,0.995,0.99271,0.62402,0.01346,0.00065,0.2793,0.86631,0.0011816,0.0011816,0.0011816
64,4129.73,0.69288,0.00659,0.03453,0.36803,0.94684,0.99938,1,0.995,0.85851,0.99938,1,0.995,0.99141,0.62724,0.01411,7e-05,0.28353,0.86536,0.0011684,0.0011684,0.0011684
65,4198.36,0.67922,0.0054,0.03712,0.3644,0.92752,0.99942,1,0.995,0.85221,0.99942,1,0.995,0.99238,0.64187,0.01323,0.00013,0.29022,0.87184,0.0011552,0.0011552,0.0011552
66,4267.19,0.7372,0.00546,0.02067,0.37761,0.96111,0.99938,1,0.995,0.8123,0.99938,1,0.995,0.99389,0.83352,0.0116,0.00031,0.31593,0.9397,0.001142,0.001142,0.001142
67,4335.36,0.72937,0.00574,0.03159,0.36949,0.96579,0.99939,1,0.995,0.87173,0.99939,1,0.995,0.99319,0.64878,0.01275,0.00035,0.28168,0.87725,0.0011288,0.0011288,0.0011288
68,4403.59,0.69685,0.00406,0.02644,0.36143,0.93592,0.99937,1,0.995,0.85931,0.99937,1,0.995,0.99249,0.6192,0.01164,0.00027,0.28631,0.87033,0.0011156,0.0011156,0.0011156
69,4469.36,0.67116,0.00548,0.02975,0.35166,0.94001,0.99938,1,0.995,0.87264,0.99938,1,0.995,0.99295,0.61367,0.01142,0.00022,0.27074,0.86392,0.0011024,0.0011024,0.0011024
70,4525.83,0.70915,0.00489,0.03001,0.36742,0.94348,0.99939,1,0.995,0.85153,0.99939,1,0.995,0.99221,0.67588,0.01179,0.00033,0.28856,0.8821,0.0010892,0.0010892,0.0010892
71,4581.46,0.67256,0.00621,0.02284,0.35198,0.93435,0.99941,1,0.995,0.84285,0.99941,1,0.995,0.99207,0.76462,0.01167,0.00024,0.30217,0.90394,0.001076,0.001076,0.001076
72,4637.09,0.67374,0.00579,0.03113,0.35471,0.91705,0.99932,1,0.995,0.87503,0.99932,1,0.995,0.99251,0.64989,0.01333,6e-05,0.27208,0.87357,0.0010628,0.0010628,0.0010628
73,4693.4,0.67111,0.00505,0.03479,0.34913,0.93615,0.99931,1,0.995,0.86317,0.99931,1,0.995,0.99195,0.66493,0.01223,0.00011,0.296,0.87394,0.0010496,0.0010496,0.0010496
74,4753.42,0.68018,0.00554,0.02832,0.35701,0.93464,0.99941,1,0.995,0.86766,0.99941,1,0.995,0.99326,0.67855,0.0111,0.00017,0.28406,0.87905,0.0010364,0.0010364,0.0010364
75,4822.11,0.64931,0.0048,0.03045,0.33366,0.92042,0.9994,1,0.995,0.85004,0.9994,1,0.995,0.99252,0.71928,0.0126,0.00015,0.28633,0.89647,0.0010232,0.0010232,0.0010232
